Group,Car Type,Horse Power(hp),Price($),Engine Size(L),Weight(kg)
Brand A,1AA,200,19642,2,1182
Brand A,4CC,180,21404,2,1158
Brand A,BA2,155,23934,2,1112
Brand A,23D,170,24504,2.2,1247
Brand A,31F,175,29307,2.2,1352
Brand A,90S,180,26383,2.2,1167
Brand A,AZ3,200,22735,2.2,1197
Brand A,7FZ,285,42891,3,1428
Brand A,65V,282,36420,3,1438
Brand A,35G,262,33605,3,1352
Brand A,2CV,240,35357,3,1485
Brand A,9SW,250,34145,3,1592
Brand A,07P,270,45249,3,1449
Brand A,J78,270,32760,3,1972
Brand A,88H,330,52564,3.5,1680
Brand A,E33,320,44875,3.5,1649
Brand A,KR5,322,40000,3.5,1409
Brand A,ZX6,324,46918,3.5,1535
Brand A,T63,310,38882,3.5,1509
Brand A,M20,350,62000,3.8,2001
Brand A,75T,365,67000,3.8,2090
Brand A,Q30,385,59974,3.8,1630
Brand A,SR3,350,68290,3.8,1699
Brand A,LL2,345,63859,3.8,1591
Brand A,MB8,347,62975,3.8,1547
Brand A,L66,395,69000,4,1676
Brand A,FT7,445,73663,5,1975
Brand A,GT9,460,75400,5,2106
Brand A,AH2,450,65528,5,2200
Brand A,KG1,380,69800,5,1933
