Group,Car Type,Engine Size (L),Price ($),Horse Power (hp),Weight (kg)
Brand A,1AA,8,36000,175,1719
Brand A,BA2,8,39000,190,1733
Brand A,4CC,8,30400,150,1652
Brand A,AZ3,6,23200,90,1469
Brand A,23D,6,25800,120,1535
Brand A,31F,4,15100,100,1366
Brand A,90S,6,23200,90,1445
Brand A,J78,4,15100,90,1351
Brand A,35G,6,23200,100,1255
Brand A,7FZ,6,23200,100,1185
Brand A,07P,6,23200,100,1311
Brand A,65V,6,19900,90,1192
Brand A,2CV,6,25800,110,1333
Brand A,KR5,6,19900,97,1248
Brand A,88H,6,23200,100,1325
Brand A,T63,6,23200,100,1305
Brand A,E33,6,23200,90,1388
Brand A,SR3,8,30400,150,1916
Brand A,ZX6,8,30400,150,1751
Brand A,9SW,8,30400,150,1652
Brand A,L66,6,25800,110,1679
Brand A,KG1,8,30400,120,1783
Brand A,FT7,6,25800,110,1634
Brand A,MB8,6,23200,100,1480
Brand A,Q30,6,25800,95,1437
Brand A,LL2,6,23200,90,1445
Brand A,75T,8,36000,175,1733
Brand A,M20,8,30400,150,1545
Brand A,GT9,4,12100,80,1202
Brand A,AH2,4,11400,91,1162
Brand A,2AA,4,11500,95,1212
Brand A,BB2,4,10700,90,1094
Brand A,3CC,4,9700,78,985
Brand A,AZ1,5,13100,103,1274
Brand A,12D,5,12100,67,1328
Brand A,13F,4,9800,83,999
Brand A,80S,4,12100,113,1005
Brand A,J77,4,12100,110,1170
Brand A,12G,8,35000,175,1845
Brand A,8FZ,6,18100,110,1325
Brand A,09P,8,35000,150,2115
Brand A,76V,6,23100,105,1521
Brand A,6CV,6,23100,110,1758
Brand A,KR2,6,23100,110,1537
Brand A,56H,8,45500,225,2228
Brand A,T33,8,45500,225,1389
Brand A,E98,8,35000,155,1962
Brand A,SR5,8,35000,155,2026
Brand A,ZX9,4,11100,80,970
Brand A,8SW,6,23100,165,1550
Brand A,L35,6,23100,110,1368
Brand A,KG5,8,35000,165,1662
Brand A,FT3,4,15100,90,1202
Brand A,MB2,6,23100,105,1541
Brand A,Q22,4,15100,84,1186
Brand A,LL4,8,35000,125,1755
Brand A,90T,8,35000,180,1971
Brand A,M15,6,25000,105,1754
Brand A,GT7,8,35000,145,1998
Brand A,AH9,4,15100,90,1328
Brand A,8AA,8,40000,150,2009
Brand A,BA4,8,30500,130,1728
Brand A,7CC,8,30500,145,1746
Brand A,AZ0,4,11200,88,1078
Brand A,67D,4,11200,88,1188
Brand A,28F,4,11200,88,1172
Brand A,89S,8,35000,165,1864
Brand A,J23,8,30700,130,1844
Brand A,13G,6,25000,100,1701
Brand A,5FZ,8,30500,140,1897
Brand A,04P,6,25000,100,1498
Brand A,23V,8,30700,130,1577
Brand A,8CV,4,8500,52,916
Brand A,KR0,4,9800,68,970
Brand A,28H,4,9800,63,923
Brand A,T29,4,9800,70,954
Brand A,E74,6,17300,110,1226
Brand A,SR7,4,15100,90,1205
Brand A,ZX3,6,17300,115,1168
Brand A,5SW,6,25000,110,1584
Brand A,L35,8,40000,150,2249
Brand A,KG8,8,35000,165,1923
Brand A,FT2,8,35000,165,1894
Brand A,MB0,8,45400,220,1959
Brand A,Q46,8,26700,125,1622
Brand A,LL5,8,35000,145,1795
Brand A,97T,6,20000,95,1420
Brand A,M43,8,35000,170,1874
Brand A,GT2,8,30500,145,1541
Brand A,AH5,8,35000,145,1837
Brand A,9AA,8,40000,150,1692
Brand A,BA7,8,26200,110,1449
Brand A,9CC,6,25000,100,1475
Brand A,AZ5,6,25000,100,1501
Brand A,37D,6,25000,105,1557
Brand A,49F,6,25000,105,1509
Brand A,40S,4,14000,72,1084
Brand A,J48,4,14000,90,1019
Brand A,48G,4,14000,90,1084
Brand A,3FZ,4,14000,72,1080
Brand A,,4,14000,75,1144
Brand A,,4,9800,60,974
Brand A,,8,35000,145,1825
Brand A,,8,30700,200,1969
Brand A,,4,11900,82,1224
Brand A,,8,40000,190,1946
Brand A,,4,15600,92,1163
Brand A,,6,22500,85,1559
Brand A,,8,36000,150,1773
Brand A,,8,44000,215,2131
Brand A,,8,40000,190,1990
Brand A,,4,13300,115,1391
Brand A,,4,7200,69,726
Brand A,,4,11900,97,1082
Brand A,,4,11900,100,1177
Brand A,,4,8500,65,909
Brand A,,4,8500,65,889
Brand A,,4,8500,65,950
Brand A,,6,16800,132,1310
Brand A,,4,9100,67,898
Brand A,,4,8600,65,909
Brand A,,4,9700,92,1030
Brand A,,4,11900,92,1095
Brand A,,4,11900,97,1035
Brand A,,4,10800,94,1071
Brand A,,4,11900,97,1145
Brand A,,4,8300,61,901
Brand A,,6,14600,120,1319
Brand A,,6,14600,97,1267
Brand A,,4,8500,70,896
Brand A,,4,8500,70,932
Brand A,,4,7900,67,878
Brand A,,4,8500,70,875
Brand A,,4,9700,88,959
Brand A,,4,9700,88,959
Brand A,,4,13500,84,1136
Brand A,,4,15600,92,1179
Brand A,,6,22500,110,1512
Brand A,,6,22500,100,1643
Brand A,,6,22500,110,1629
Brand A,,6,22500,90,1521
Brand A,,8,38300,170,1603
Brand A,,4,13500,84,1067
Brand A,,4,9800,80,974
Brand A,,4,9750,80,957
Brand A,,4,9800,80,862
Brand A,,4,9800,83,934
Brand A,,4,9800,79,1015
Brand A,,4,15600,105,1260
Brand A,,4,9000,75,956
Brand A,,8,31800,150,1886
Brand A,,8,31800,150,2006
Brand A,,8,31800,150,1700
Brand A,,8,31800,150,1690
Brand A,,8,31800,210,1972
Brand A,,8,31800,150,1530
Brand A,,8,31800,140,1681
Brand A,,8,31800,140,1836
Brand A,,8,38300,180,2230
Brand A,,8,31800,145,1863
Brand A,,4,10500,75,1004
Brand A,,4,13500,84,1033
Brand A,,8,31800,135,1724
Brand A,,4,9800,90,1019
Brand A,,4,11600,75,1011
