Group,Car Type,Price ($),Engine Size (L),Horsepower (hp),Weight (kg)
Brand A,1AA,14000,4,90,1084
Brand A,BA2,14000,4,72,1080
Brand A,4CC,14000,4,75,1144
Brand A,AZ3,9800,4,60,974
Brand A,23D,35000,8,145,1825
Brand A,31F,30700,8,200,1969
Brand A,90S,11900,4,82,1224
Brand A,J78,40000,8,190,1946
Brand A,35G,15600,4,92,1163
Brand A,7FZ,22500,6,85,1559
Brand A,07P,36000,8,150,1773
Brand A,65V,44000,8,215,2131
Brand A,2CV,40000,8,190,1990
Brand A,KR5,13300,4,115,1391
Brand A,88H,7200,4,69,726
Brand A,T63,11900,4,97,1082
Brand A,E33,11900,4,100,1177
Brand A,SR3,8500,4,65,909
Brand A,ZX6,8500,4,65,889
Brand A,9SW,8500,4,65,950
Brand A,L66,16800,6,132,1310
Brand A,KG1,9100,4,67,898
Brand A,FT7,8600,4,65,909
Brand A,MB8,9700,4,92,1030
Brand A,Q30,11900,4,92,1095
Brand A,LL2,11900,4,97,1035
Brand A,75T,10800,4,94,1071
Brand A,M20,11900,4,97,1145
Brand A,GT9,8300,4,61,901
Brand A,AH2,14600,6,120,1319
Brand A,2AA,14600,6,97,1267
Brand A,BB2,8500,4,70,896
Brand A,3CC,8500,4,70,932
Brand A,AZ1,7900,4,67,878
Brand A,12D,8500,4,70,875
Brand A,13F,9700,4,88,959
Brand A,80S,9700,4,88,959
Brand A,J77,13500,4,84,1136
Brand A,12G,15600,4,92,1179
Brand A,8FZ,22500,6,110,1512
Brand A,09P,22500,6,100,1643
Brand A,76V,22500,6,110,1629
Brand A,6CV,22500,6,90,1521
Brand A,KR2,38300,8,170,1603
Brand A,56H,13500,4,84,1067
Brand A,T33,9800,4,80,974
Brand A,E98,9750,4,80,957
Brand A,SR5,9800,4,80,862
Brand A,ZX9,9800,4,83,934
Brand A,8SW,9800,4,79,1015
Brand A,L35,15600,4,105,1260
Brand A,KG5,9000,4,75,956
Brand A,FT3,31800,8,150,1886
Brand A,MB2,31800,8,150,2006
Brand A,Q22,31800,8,150,1700
Brand A,LL4,31800,8,150,1690
Brand A,90T,31800,8,210,1972
Brand A,M15,31800,8,150,1530
Brand A,GT7,31800,8,140,1681
Brand A,AH9,31800,8,140,1836
Brand A,8AA,38300,8,180,2230
Brand A,BA4,31800,8,145,1863
Brand A,7CC,10500,4,75,1004
Brand A,AZ0,13500,4,84,1033
Brand A,67D,31800,8,135,1724
Brand A,28F,9800,4,90,1019
Brand A,89S,11600,4,75,1011
Brand A,J23,8800,4,76,929
Brand A,13G,9000,4,75,949
Brand A,5FZ,6800,4,49,840
Brand A,04P,10700,4,86,1109
Brand A,23V,9100,4,69,959
Brand A,8CV,7900,4,67,900
Brand A,KR0,14000,4,92,1157
Brand A,28H,40000,8,170,2136
Brand A,T29,35100,8,142,1824
Brand A,E74,40000,8,167,2208
Brand A,SR7,9800,4,65,1071
Brand A,ZX3,9800,4,65,920
Brand A,5SW,30200,8,130,1742
Brand A,L35,36000,8,215,2077
Brand A,KG8,20000,6,85,1334
Brand A,FT2,14000,4,88,1224
Brand A,MB0,14000,4,88,1301
Brand A,Q46,14000,4,92,1289
Brand A,LL5,14000,4,88,1292
Brand A,97T,9800,4,66,810
Brand A,M43,30200,8,139,1442
Brand A,GT2,35100,8,153,1858
Brand A,AH5,35100,8,153,1869
Brand A,9AA,42900,8,198,1953
Brand A,BA7,30200,8,140,1932
Brand A,9CC,30200,8,140,2087
Brand A,AZ5,30200,8,137,1819
Brand A,37D,35100,8,152,1897
Brand A,49F,30200,8,140,1863
Brand A,40S,25000,6,78,1608
Brand A,J48,20000,6,88,1377
Brand A,48G,23200,6,112,1276
Brand A,3FZ,25000,6,98,1586
